DATE,ígó‚ñ[ä∑ãC[kW],ããìí[kW],è∆ñæ[kW],ê~ñ[[kW],ó‚ë†å…[kW],å‚äyèÓïÒ[kW],â∆éñâqê∂[kW],ÇªÇÃëº[kW],î≠ê∂ÉGÉlÉãÉMÅ[[kW],çáåv[kW]
2003/9/29 1:30,0.00302325,0,0,0.0007923,0.0417834,0.0233659,0.01414325,0.09896105,0,0.18206915
2003/9/29 2:00,0.0030163,0,0,0.0007784,0.0483303,0.023352,0.00886125,0.0983981,0,0.18273635
2003/9/29 2:30,0.0030024,0,0,0.0007923,0.0627585,0.02334505,0.0142336,0.0981062,0,0.20223805
2003/9/29 3:00,0.00366265,0,0,0.0007784,0.04921295,0.0607847,0.01307295,0.13953515,0,0.2670468
2003/9/29 3:30,0.0036557,0,0,0.0007923,0.04155405,0.09484665,0.00888905,0.15734105,0,0.3070788
2003/9/29 4:00,0.0030163,0,0,0.0007923,0.0402127,0.09384585,0.0117733,0.15707695,0,0.3067174
2003/9/29 4:30,0.00300935,0,0,0.0008062,0.0492616,0.09155235,0.01197485,0.15596495,0,0.3125693
2003/9/29 5:00,0.0030024,0,0,0.0007784,0.06165345,0.0831776,0.01610315,0.1555688,0,0.3202838
2003/9/29 5:30,0.0030024,0,0,0.0007923,0.04979675,0.0820656,0.0092435,0.1557217,0,0.30062225
2003/9/29 6:00,0.0030024,0,0,0.00077145,0.0440491,0.08618695,0.01578345,0.14794465,0,0.297738
2003/9/29 6:30,0.00299545,0,0,0.00077145,0.0432151,0.09151065,0.01421275,0.34107125,0,0.49377665
2003/9/29 7:00,0.0029885,0,0,0.1629219,0.0405602,0.09331765,0.01372625,0.47740245,0,0.79091695
2003/9/29 7:30,0.0030024,0,0,0.0007784,0.04162355,0.0918234,0.00945895,0.3233974,0,0.4700841
2003/9/29 8:00,0.0033221,0,0,0.07520595,0.0594086,0.09323425,0.016541,0.085068,0,0.3327799
2003/9/29 8:30,0.06169515,0,0,0.0007923,0.06838105,0.07381595,0.03222715,0.0720159,0,0.3089275
2003/9/29 9:00,0.0626751,0,0,0.00075755,0.05966575,0.02310875,0.03301945,0.0783126,0,0.2575392
2003/9/29 9:30,0.06009665,0,0,0.00077145,0.0518053,0.0231991,0.0118984,0.0768114,0,0.2245823
2003/9/29 10:00,0.0549745,0,0,0.0007923,0.0517497,0.02323385,0.01453245,0.07758285,0,0.22286565
2003/9/29 10:30,0.05029715,0,0,0.00077145,0.05050565,0.02317825,0.00929215,0.07705465,0,0.2110993
2003/9/29 11:00,0.04629395,0,0,0.0007784,0.0485666,0.0231435,0.01150225,0.0766029,0,0.2068876
2003/9/29 11:30,0.0371825,0,0,0.00077145,0.0561977,0.0231296,0.011537,0.07730485,0,0.2061231
2003/9/29 12:00,0.02256665,0,0,0.0007784,0.06230675,0.02365085,0.01129375,0.0782153,0,0.1988117
2003/9/29 12:30,0.0312055,0,0,0.00077145,0.05468955,0.02316435,0.01556105,0.0771311,0,0.202523
2003/9/29 13:00,0.0336658,0,0,0.1657158,0.08193355,0.0231991,0.0086458,0.07862535,0,0.3917854
2003/9/29 13:30,0.03307505,0,0,0.0010008,0.07958445,0.08418535,0.00830525,0.0785211,0,0.284672
2003/9/29 14:00,0.03263025,0,0,0.0007784,0.07763845,0.04694725,0.0132189,0.0765473,0,0.24776055
2003/9/29 14:30,0.03157385,0,0,0.0007784,0.0775342,0.02363695,0.0106335,0.0757133,0,0.2198702
2003/9/29 15:00,0.03139315,0,0,0.0007784,0.0772701,0.02363,0.0078257,0.07541445,0,0.2163118
2003/9/29 15:30,0.0264795,0,0,0.00077145,0.07858365,0.02355355,0.01298955,0.07499745,0,0.21737515
2003/9/29 16:00,0.0144977,0,0,0.00077145,0.07805545,0.0235188,0.0075894,0.07548395,0,0.19991675
2003/9/29 16:30,0.01458805,0,0,0.00077145,0.0780763,0.02353965,0.010147,0.07360745,0,0.2007299
